Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C47, C50, C51, C7, C9",0805,7,10u,C15850
"C10, C11, C12, C3, C4, C45, C46, C48, C49, C5, C57, C58, C59, C6, C63, C64, C8",0402,17,100n,C307331
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44",0603,32,2n2,C1604
"C52, C53",1206,2,22u,C12891
"C54, C55",0603,2,3n3,C77036
"C56, C60, C61, C62",0805,4,1u,C28323
"D1, D2, D7",0805,3,LED,C2297
"D10, D11, D12, D13, D14, D15, D16, D17, D20, D21, D22, D23, D24, D25, D26, D27, D30, D31, D32, D33, D34, D35, D36, D37, D40, D41, D42, D43, D44, D45, D46, D47, D50, D51, D52, D53, D54, D55, D56, D57, D60, D61, D62, D63, D64, D65, D66, D67, D70, D71, D72, D73, D74, D75, D76, D77, D80, D81, D82, D83, D84, D85, D86, D87, D91, D92, D93, D94, D97",D_SOD-323,69,SD103,C7420360
"D18, D19, D28, D29, D3, D38, D39, D48, D49, D5, D58, D59, D6, D68, D69, D78, D79, D8, D88, D89, D9, D90, D95, D96",DFN-3 1010,24,D3V3L2B3LP10,C1974778
D4,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,D3V3XA4B10LP,C1980462
J1,DC050-T,1,Barrel_Jack,C431534
"J10, J11, J12, J3, J4, J5, J6, J7, J8, J9",PJ-625DK,10,AudioJack3_Dual_Switch,C309295
J13,PJ-320B,1,3.5mm TRS,C18594
"J14, J15",DIN-504D-M5,2,DIN-5_180degree,C2939347
J2,RJ45_Hanrun_HR911105A_Horizontal,1,RJ45,C69427
"R1, R5, R8",0402,3,1k,C11702
"R137,R138,R139,R140",0402,36,100k,C25741
"R100, R101, R102, R103, R104, R113, R114, R115, R116, R117, R118, R119, R120, R129, R130, R131, R132, R133, R134, R135, R136, R17, R18, R19, R20, R21, R22, R23, R24, R33, R34, R35, R36, R37, R38, R39, R40, R49, R50, R51, R52, R53, R54, R55, R56, R65, R66, R67, R68, R69, R70, R71, R72, R81, R82, R83, R84, R85, R86, R87, R88, R97, R98, R99",0402,64,22k,C25768
"R105, R107, R109, R11, R111, R121, R123, R125, R127, R13, R145, R146, R147, R148, R149, R15, R150, R153, R154, R155, R156, R157, R2, R25, R27, R29, R3, R31, R4, R41, R43, R45, R47, R57, R59, R6, R61, R63, R7, R73, R75, R77, R79, R89, R9, R91, R93, R95",0402,48,10k,C25744
"R141, R142, R143, R144",0805,4,47R,C17714
"R151, R152",0402,2,470R,C25117
"R158, R159, R163",0402,3,4k7,C25900
R160,0402,1,10R,C25077
R161,0402,1,33R,C25105
"R162, R164",0402,2,220R,C25091
"RV1, RV10, RV11, RV12, RV13, RV14, RV15, RV16, RV17, RV18, RV19, RV2, RV20, RV21, RV22, RV23, RV24, RV25, RV26, RV27, RV28, RV29, RV3, RV30, RV31, RV32, RV4, RV5, RV6, RV7, RV8, RV9",Potentiometer_Bourns_TC33X_Vertical,32,100k Pot,C128545
SW1,PS-5850A-6P,1,SW_Push_DPDT,C963201
"SW2, SW3",SKMP,2,SW_Push,C115350
"TP58, TP59, TP61, TP62",TestPoint_Keystone_5019_Minature,4,TestPoint,-
U1,TSSOP-28_4.4x9.7mm_P0.65mm,1,AD7490,C36884
U2,Teensy 4.1,1,Teensy 4.1,-
U3,SOT-23,1,AZ431L,C115253
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,SP3485,C8963
U6,TSSOP-10_3x3mm_P0.5mm,1,CS4344,C8952
U7,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,1,MAX97220A,C2682711
U8,SOP-8_6.605x9.655mm_P2.54mm,1,6N138,C255744
